,playerid,Name,Position(s),Team,Salary,dollar_value,Surplus,Values,Adjusted,Overall_Value,R,HR,RBI,SB,ex_AVE,K,W,SV,ex_WHIP,ex_ERA,Group,Tier,Stuff+,brl_percent,brl_percentile,whiff_percent
2964,sa3016106,None,Not Available,FA,0.0,0.0,0.0,-1.6411055592486963,0.0,0.0,0.0717,0.0122,0.0659,0.0077,-0.10132290000000002,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2965,sa3021290,None,Not Available,FA,0.0,0.0,0.0,-1.6410982584904352,0.0,0.0,0.0669,0.0074,0.0623,0.0085,-0.0959712,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2966,sa3015663,None,Not Available,FA,0.0,0.0,0.0,-1.6410817313436656,0.0,0.0,0.0658,0.0092,0.063,0.0143,-0.10426540000000004,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2967,sa3015644,None,Not Available,FA,0.0,0.0,0.0,-1.6410816863622002,0.0,0.0,0.0661,0.0066,0.0609,0.012100000000000001,-0.09893040000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2968,sa3015825,None,Not Available,FA,0.0,0.0,0.0,-1.6410798866523368,0.0,0.0,0.06770000000000001,0.011300000000000001,0.0664,0.0106,-0.10300520000000002,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2969,sa3008930,None,Not Available,FA,0.0,0.0,0.0,-1.6414669242149604,0.0,0.0,0.0656,0.008700000000000001,0.06380000000000001,0.0102,-0.1009334,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2970,sa3015636,None,Not Available,FA,0.0,0.0,0.0,-1.641052013089804,0.0,0.0,0.07010000000000001,0.0151,0.0692,0.012700000000000001,-0.10997600000000002,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2971,sa3019540,None,Not Available,FA,0.0,0.0,0.0,-1.6416972299501413,0.0,0.0,0.06760000000000001,0.0085,0.062,0.0097,-0.10130120000000004,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2972,sa3016191,None,Not Available,FA,0.0,0.0,0.0,-1.6411815906713285,0.0,0.0,0.0717,0.0233,0.0756,0.009300000000000001,-0.11568860000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2973,sa3019218,None,Not Available,FA,0.0,0.0,0.0,-1.641024290724956,0.0,0.0,0.06720000000000001,0.0061,0.0604,0.0089,-0.0945609,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2974,sa3018530,None,Not Available,FA,0.0,0.0,0.0,-1.6410198582357,0.0,0.0,0.0664,0.010400000000000001,0.06470000000000001,0.011600000000000001,-0.10237850000000001,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2975,sa3019510,None,Not Available,FA,0.0,0.0,0.0,-1.6410086916601978,0.0,0.0,0.07250000000000001,0.013800000000000002,0.0695,0.0105,-0.10668810000000001,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
